paper_id,l1_method,l2_method
1617,Theoretical and Formal Modeling,Behavioral & Cognitive Modeling
1587,Empirical and Econometric Methods,Panel Data and Fixed Effects
1238,Theoretical and Formal Modeling,Macroeconomic & Spatial Equilibrium
1440,"Qualitative, Descriptive, and Mixed Methods",Literature Reviews & Aggregation
1237,Experimental Methods,Field Experiments / RCTs
1286,Empirical and Econometric Methods,Structural & Advanced Econometrics
1526,"Qualitative, Descriptive, and Mixed Methods",Archival Research & Case Studies
1364,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1611,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1349,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1456,Experimental Methods,Field Experiments / RCTs
1529,Empirical and Econometric Methods,Structural & Advanced Econometrics
1618,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1301,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1430,Experimental Methods,Field Experiments / RCTs
1274,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1225,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1616,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1253,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1514,Experimental Methods,Laboratory & Online Experiments
1380,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1311,Experimental Methods,Field Experiments / RCTs
1605,Experimental Methods,Laboratory & Online Experiments
1219,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1621,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1535,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1606,Theoretical and Formal Modeling,Behavioral & Cognitive Modeling
1515,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1344,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1613,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1266,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1623,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1322,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1528,"Computational, Data Science, and Machine Learning",Natural Language Processing (NLP) & Text Analysis
1620,Experimental Methods,Field Experiments / RCTs
1518,Empirical and Econometric Methods,Structural & Advanced Econometrics
1294,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1368,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1303,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1419,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1182,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1545,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1454,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1249,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1590,Experimental Methods,Field Experiments / RCTs
1340,Empirical and Econometric Methods,Structural & Advanced Econometrics
1565,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1626,Empirical and Econometric Methods,Panel Data and Fixed Effects
1351,Empirical and Econometric Methods,Panel Data and Fixed Effects
1389,Empirical and Econometric Methods,Panel Data and Fixed Effects
1507,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1278,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1187,Experimental Methods,Field Experiments / RCTs
1488,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1609,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1591,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1268,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1180,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1525,"Computational, Data Science, and Machine Learning",Natural Language Processing (NLP) & Text Analysis
1331,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1510,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1533,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1316,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1348,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1330,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1318,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1200,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1592,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1203,Empirical and Econometric Methods,Difference-in-Differences (DiD) & Event Studies
1513,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1300,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1194,Empirical and Econometric Methods,unknown
1471,"Qualitative, Descriptive, and Mixed Methods",Literature Reviews & Aggregation
1248,"Qualitative, Descriptive, and Mixed Methods",Archival Research & Case Studies
1532,Empirical and Econometric Methods,unknown
1321,Theoretical and Formal Modeling,Game Theory & Mechanism Design
1610,Theoretical and Formal Modeling,Behavioral & Cognitive Modeling
1361,Empirical and Econometric Methods,Instrumental Variables (IV) & Shift-Share Designs
1385,Experimental Methods,Laboratory & Online Experiments
1608,Theoretical and Formal Modeling,Behavioral & Cognitive Modeling
1506,Empirical and Econometric Methods,Panel Data and Fixed Effects
1544,Empirical and Econometric Methods,Regression Discontinuity Design (RDD)
1566,Empirical and Econometric Methods,unknown
1324,Empirical and Econometric Methods,Natural Language Processing (NLP) & Text Analysis
1596,Experimental Methods,Survey & Conjoint Experiments
